what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343456009778
executed,command,com.google.appengine.eclipse.core,3.0.1.v201206290132-rel-r37,"com.google.appengine.eclipse.core.deployToGoogle",1343456430752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343456430801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343456459579
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343456754364
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1343456762105
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1343456762564
opened,view,com.android.ide.eclipse.ddms,20.0.2.v201207191942-407447,"com.android.ide.eclipse.ddms.views.LogCatView",1343456783217
activated,view,com.android.ide.eclipse.ddms,20.0.2.v201207191942-407447,"com.android.ide.eclipse.ddms.views.LogCatView",1343456783247
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1343456786139
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1343456797635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343456816794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343456821844
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1343456825444
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1343456825487
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1343456825584
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343456853441
executed,command,,,"com.google.gdt.eclipse.suite.launch.ui.webappLaunchShortcut.run",1343456857032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343456873178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343456890633
started,bundle,com.google.appengine.eclipse.datatools,3.0.1.v201206290132-rel-r37,"com.google.appengine.eclipse.datatools",1343456897130
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343456897180
executed,command,,,"com.google.gdt.eclipse.suite.launch.ui.webappLaunchShortcut.run",1343456914033
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1343456937242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343456953783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343456963021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343456966427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343457115855
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343457123513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343457144524
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1343457146625
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1343457146935
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1343457147093
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1343457149072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1343457149072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343457149172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343457154254
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1343457157037
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1343457157038
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1343457157038
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1343457157058
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1343457157058
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1343457157059
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1343457157060
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1343457157060
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1343457157061
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1343457157061
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1343457157062
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1343457157062
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343457157214
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1343457157416
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1343457157416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343457157483
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343457157496
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343457157589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343457170409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343457199662
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343457200798
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343457201838
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343457202079
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1343457203621
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343457213538
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343457215558
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343457225296
error,log,,,"Failed to load properties file for project 'myFirstAppEng'",1343457235418
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1343457238893
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343457238933
opened,editor,com.android.ide.eclipse.adt,20.0.2.v201207191942-407447,"com.android.ide.eclipse.editors.CommonXmlEditor",1343457241287
activated,editor,com.android.ide.eclipse.adt,20.0.2.v201207191942-407447,"com.android.ide.eclipse.editors.CommonXmlEditor",1343457241360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343457269720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343457773868
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343457773924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343457791081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343457937010
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343457947205
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343457947256
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343457947405
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343457953140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343458037196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343458148291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343458407985
