what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1346606283151
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606283228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606299367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606304222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606305571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1346606307633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1346606309027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606309072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606309768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606310247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606311386
error,log,,,"palette: Failed to find style 'switchStyle' in current theme",1346606324809
error,log,,,"palette: Failed to find style 'switchStyle' in current theme",1346606324810
error,log,,,"palette: Failed to find style 'switchStyle' in current theme",1346606324811
error,log,,,"palette: Failed to find style 'switchStyle' in current theme",1346606324812
error,log,,,"palette: Failed to find style 'switchStyle' in current theme",1346606324812
error,log,,,"palette: Failed to find style 'switchStyle' in current theme",1346606324814
error,log,,,"",1346606324816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606334724
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1346606336182
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1346606337904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606338586
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606430538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606433027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606455646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606463826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606514407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606523183
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606545467
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1346606547564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606554564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606556273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606560453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606584448
opened,editor,com.android.ide.eclipse.adt,20.0.2.v201207191942-407447,"com.android.ide.eclipse.editors.CommonXmlEditor",1346606588066
activated,editor,com.android.ide.eclipse.adt,20.0.2.v201207191942-407447,"com.android.ide.eclipse.editors.CommonXmlEditor",1346606588185
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1346606588242
activated,editor,com.android.ide.eclipse.adt,20.0.2.v201207191942-407447,"com.android.ide.eclipse.editors.CommonXmlEditor",1346606589539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1346606591641
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606592819
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1346606604622
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606645554
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1346606647694
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606651253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606661682
opened,editor,com.android.ide.eclipse.adt,20.0.2.v201207191942-407447,"com.android.ide.eclipse.editors.CommonXmlEditor",1346606664903
activated,editor,com.android.ide.eclipse.adt,20.0.2.v201207191942-407447,"com.android.ide.eclipse.editors.CommonXmlEditor",1346606665008
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1346606665151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606670902
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1346606672490
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1346606675044
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606675123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606677957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606694152
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346606697872
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1346606697930
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346606703624
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1346606708283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346606709050
