what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620018
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240620019
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620019
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620019
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240620020
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620020
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620020
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240620021
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620021
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620021
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240620021
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620021
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620022
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240620022
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620022
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620023
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240620023
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620023
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620023
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240620024
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620024
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620024
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240620025
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620025
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620025
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240620026
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620026
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620026
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240620027
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620027
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620027
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240620027
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620027
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620028
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240620028
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620028
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620029
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240620029
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620029
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620029
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240620030
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620030
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620030
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240620031
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620031
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620031
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240620032
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620032
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620032
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240620033
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620033
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620033
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240620033
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620033
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620034
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240620034
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620034
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240620035
error,log,,,"Unhandled event loop exception",1343240620055
error,log,,,"Unhandled event loop exception",1343240621258
error,log,,,"Unhandled event loop exception",1343240621405
error,log,,,"Unhandled event loop exception",1343240621560
error,log,,,"Unhandled event loop exception",1343240622098
error,log,,,"Unhandled event loop exception",1343240622644
error,log,,,"Unhandled event loop exception",1343240622683
error,log,,,"Unhandled event loop exception",1343240622871
error,log,,,"Unhandled event loop exception",1343240623066
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1343240623162
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1343240623163
error,log,,,"Unhandled event loop exception",1343240623303
error,log,,,"Unhandled event loop exception",1343240623783
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.addView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.mylyn.tasks.ui.views.tasks",1343240623938
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.addView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.mylyn.tasks.ui.views.tasks",1343240623939
error,log,,,"Unable to create view ID org.eclipse.ui.views.ContentOutline: Invalid registry object",1343240624076
opened,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1343240624111
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240624208
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240624219
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1343240624237
closed,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1343240624251
error,log,,,"Unhandled event loop exception",1343240624458
error,log,,,"The command (""org.eclipse.debug.ui.commands.ToggleLineBreakpoint"") is undefined",1343240624574
error,log,,,"Unhandled event loop exception",1343240624575
error,log,,,"Unhandled event loop exception",1343240624732
error,log,,,"Unhandled event loop exception",1343240624888
error,log,,,"Unhandled event loop exception",1343240625058
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1343240625101
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1343240625102
error,log,,,"Unhandled event loop exception",1343240625252
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.addView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.mylyn.tasks.ui.views.tasks",1343240625405
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.addView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.mylyn.tasks.ui.views.tasks",1343240625406
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240625542
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240625549
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1343240625562
error,log,,,"Unhandled event loop exception",1343240625777
error,log,,,"Unhandled event loop exception",1343240626194
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.addView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.mylyn.tasks.ui.views.tasks",1343240626476
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.addView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.mylyn.tasks.ui.views.tasks",1343240626477
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240626650
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240626793
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1343240626810
error,log,,,"Unhandled event loop exception",1343240627096
