what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240595324
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240595324
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240595324
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240595325
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240595325
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240595325
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240595326
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240595326
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240595326
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240595327
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240595327
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240595328
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240595328
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240595328
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240595329
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240595329
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240595329
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240595330
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240595330
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240595330
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240595331
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240595331
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240595331
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240595332
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240595332
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240595333
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240595333
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1343240595334
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240595334
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1343240595334
