what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.notifications.feed,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.feed",1345372382708
started,bundle,org.eclipse.mylyn.commons.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.ui",1345372382709
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.workbench",1345372382712
started,bundle,org.eclipse.mylyn.context.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.core",1345372382721
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.tasks.ui",1345372382722
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.monitor.ui",1345372382723
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui",1345372382734
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1345372382740
started,bundle,org.eclipse.wb.core,1.5.0.r37x201206111201,"org.eclipse.wb.core",1345372382741
started,bundle,org.eclipse.wb.core.lib,1.5.0.r37x201206111201,"org.eclipse.wb.core.lib",1345372382766
os,sysinfo,,,"linux",1345372382778
arch,sysinfo,,,"x86",1345372382778
ws,sysinfo,,,"gtk",1345372382778
locale,sysinfo,,,"en_IN",1345372382778
processors,sysinfo,,,"2",1345372382778
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1345372382778
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1345372382778
java.specification.name,sysinfo,,,"Java Platform API Specification",1345372382778
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1345372382778
java.specification.version,sysinfo,,,"1.6",1345372382778
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1345372382778
java.version,sysinfo,,,"1.6.0_24",1345372382778
java.vm.info,sysinfo,,,"mixed mode, sharing",1345372382778
java.vm.name,sysinfo,,,"OpenJDK Client VM",1345372382778
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1345372382778
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1345372382778
java.vm.specification.version,sysinfo,,,"1.0",1345372382778
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1345372382778
java.vm.version,sysinfo,,,"20.0-b12",1345372382778
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1345372383398
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1345372383712
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1345372384187
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1345372385893
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1345372386524
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1345372386524
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1345372386547
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1345372386548
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1345372386589
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1345372396777
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1345372396840
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1345372401735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345372405027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345372649198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345372652742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345373033384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345373040468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345373346281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345373346309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345373856891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345373863094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345373899975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345373902646
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345373976701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345373977243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345374002866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345374003361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345374777889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345374781422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345375324148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345375330539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345386766901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345386769077
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345386772658
